"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.1.25","192.168.1.255","NBNS","92","Name query NB DESKTOP-9CQD17A<1c>"
"2","0.348752","192.168.1.19","157.240.23.53","TLSv1.2","123","Application Data"
"3","0.358841","157.240.23.53","192.168.1.19","TCP","56","443  >  49795 [ACK] Seq=1 Ack=70 Win=358 Len=0"
"4","0.552931","157.240.23.53","192.168.1.19","TLSv1.2","125","Application Data"
"5","0.595619","192.168.1.19","157.240.23.53","TCP","54","49795  >  443 [ACK] Seq=70 Ack=72 Win=514 Len=0"
"6","0.716741","192.168.1.25","192.168.1.255","NBNS","92","Name query NB DESKTOP-9CQD17A<1c>"
"8","1.126938","192.168.1.19","54.255.187.139","UDP","492","57727  >  1053 Len=1930"
"11","1.582294","142.250.182.46","192.168.1.19","UDP","79","443  >  58785 Len=37"
"12","1.584049","192.168.1.19","142.250.182.46","UDP","75","58785  >  443 Len=33"
"14","1.588990","192.168.1.19","54.179.212.40","UDP","492","57728  >  1053 Len=1930"
"15","1.709061","192.168.1.19","142.250.71.14","UDP","1287","53677  >  443 Len=1245"
"16","1.709354","192.168.1.19","142.250.71.14","UDP","1046","53677  >  443 Len=1004"
"17","1.713662","142.250.71.14","192.168.1.19","UDP","73","443  >  53677 Len=31"
"18","1.727135","192.168.1.19","142.250.71.14","UDP","75","53677  >  443 Len=33"
"19","1.788499","192.168.1.19","142.250.182.46","UDP","71","58785  >  443 Len=29"
"20","1.792759","142.250.182.46","192.168.1.19","UDP","68","443  >  58785 Len=26"
"21","1.929109","192.168.1.19","142.250.71.14","UDP","71","53677  >  443 Len=29"
"22","1.932296","142.250.71.14","192.168.1.19","UDP","68","443  >  53677 Len=26"
"23","2.006262","192.168.1.19","142.250.182.46","UDP","71","58785  >  443 Len=29"
"24","2.013154","142.250.182.46","192.168.1.19","UDP","68","443  >  58785 Len=26"
"25","2.092585","142.250.71.14","192.168.1.19","UDP","532","443  >  53677 Len=490"
"26","2.093884","142.250.71.14","192.168.1.19","UDP","78","443  >  53677 Len=36"
"27","2.094025","142.250.71.14","192.168.1.19","UDP","282","443  >  53677 Len=240"
"28","2.094194","192.168.1.19","142.250.71.14","UDP","80","53677  >  443 Len=38"
"29","2.097607","142.250.71.14","192.168.1.19","UDP","68","443  >  53677 Len=26"
"30","2.098034","192.168.1.19","142.250.71.14","UDP","74","53677  >  443 Len=32"
"31","2.137468","172.253.118.188","192.168.1.19","TLSv1.2","389","Application Data"
"32","2.178215","192.168.1.19","172.253.118.188","TCP","54","58632  >  5228 [ACK] Seq=1 Ack=336 Win=507 Len=0"
"33","2.225205","192.168.1.19","142.250.182.46","UDP","71","58785  >  443 Len=29"
"34","2.230907","142.250.182.46","192.168.1.19","UDP","68","443  >  58785 Len=26"
"35","2.252763","192.168.1.25","192.168.1.255","NBNS","92","Name query NB DESKTOP-9CQD17A<1c>"
"37","2.398190","192.168.1.19","142.250.71.14","UDP","1287","53677  >  443 Len=1245"
"38","2.398325","192.168.1.19","142.250.71.14","UDP","462","53677  >  443 Len=420"
"39","2.403340","142.250.71.14","192.168.1.19","UDP","73","443  >  53677 Len=31"
"40","2.412946","192.168.1.19","142.250.71.14","UDP","75","53677  >  443 Len=33"
"41","2.443858","192.168.1.19","142.250.182.46","UDP","71","58785  >  443 Len=29"
"42","2.448051","142.250.182.46","192.168.1.19","UDP","68","443  >  58785 Len=26"
